Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
wdm,io.github.bonigarcia.wdm.docker,DockerService,getGateway,Long Statement,The length of the statement "String gateway=dockerClient.inspectContainerCmd(containerId).exec().getNetworkSettings().getNetworks().get(network).getGateway();" is 129.,170
wdm,io.github.bonigarcia.wdm.docker,DockerService,getAddress,Long Statement,The length of the statement "return dockerClient.inspectContainerCmd(containerId).exec().getNetworkSettings().getNetworks().get(network).getIpAddress();" is 123.,179
wdm,io.github.bonigarcia.wdm.docker,DockerService,startContainer,Complex Method,Cyclomatic complexity of the method is 11,184
wdm,io.github.bonigarcia.wdm.docker,DockerService,execCommandInContainer,Long Statement,The length of the statement "String execId=dockerClient.execCreateCmd(containerId).withCmd(command).withAttachStdout(true).withAttachStderr(true).exec().getId();" is 132.,266
wdm,io.github.bonigarcia.wdm.docker,DockerService,getBindPort,Complex Conditional,The conditional expression ports.getBindings() == null || exposedPort == null || ports.getBindings().isEmpty() || exposedPort.length == 0 is complex.,292
wdm,io.github.bonigarcia.wdm.docker,DockerService,getImageVersionFromDockerHub,Complex Method,Cyclomatic complexity of the method is 10,407
wdm,io.github.bonigarcia.wdm.docker,DockerService,getImageVersionFromDockerHub,Long Identifier,The length of the identifier dockerBrowserAerokubeImageFormat is 32.,407
wdm,io.github.bonigarcia.wdm.docker,DockerService,getImageVersionFromDockerHub,Long Parameter List,The method has 5 parameters. ,407
wdm,io.github.bonigarcia.wdm.docker,DockerService,getImageVersionFromDockerHub,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7cc25917,407
wdm,io.github.bonigarcia.wdm.docker,DockerService,getDockerImage,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@50fa8c92,507
wdm,io.github.bonigarcia.wdm.docker,DockerService,startNoVncContainer,Long Statement,The length of the statement "DockerContainer noVncContainer=DockerContainer.dockerBuilder(dockerImage).exposedPorts(exposedPorts).network(network).extraHosts(extraHosts).envs(envs).build();" is 160.,567
wdm,io.github.bonigarcia.wdm.docker,DockerService,startBrowserContainer,Complex Method,Cyclomatic complexity of the method is 8,613
wdm,io.github.bonigarcia.wdm.docker,DockerService,startBrowserContainer,Long Statement,The length of the statement "Mount tmpfsMount=new Mount().withTmpfsOptions(new TmpfsOptions().withSizeBytes(config.getDockerMemSizeBytes(config.getDockerTmpfsSize()))).withTarget(config.getDockerTmpfsMount());" is 180.,613
wdm,io.github.bonigarcia.wdm.docker,DockerService,startBrowserContainer,Long Statement,The length of the statement "DockerBuilder dockerBuilder=DockerContainer.dockerBuilder(dockerImage).exposedPorts(exposedPorts).network(network).mounts(mounts).binds(binds).shmSize(shmSize).envs(envs).extraHosts(extraHosts).sysadmin();" is 205.,613
wdm,io.github.bonigarcia.wdm.docker,DockerService,startRecorderContainer,Long Statement,The length of the statement "DockerContainer recorderContainer=DockerContainer.dockerBuilder(dockerImage).network(network).envs(envs).binds(binds).extraHosts(extraHosts).sysadmin().build();" is 160.,725
wdm,io.github.bonigarcia.wdm.docker,DockerService,getRecordingPath,Long Statement,The length of the statement "String recordingFileName=browserContainer.getBrowserName() + SEPARATOR + dateFormat.format(now)+ SEPARATOR+ sessionId+ RECORDING_EXT;" is 133.,771
wdm,io.github.bonigarcia.wdm.managers,ChromeDriverManager,buildUrl,Long Identifier,The length of the field CHROMEDRIVER_DOWNLOAD_OLD_PATTERN is 33.,155
wdm,io.github.bonigarcia.wdm.managers,EdgeDriverManager,getOsLabel,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3e76976e,164
wdm,io.github.bonigarcia.wdm.managers,EdgeDriverManager,buildUrl,Long Statement,The length of the statement "String builtUrl=os == MAC && arch == ARM64 ? String.format(downloadUrlPattern`driverVersion`"mac"`"64_m1") : String.format(downloadUrlPattern`driverVersion`osName`archLabel);" is 174.,186
wdm,io.github.bonigarcia.wdm.managers,FirefoxDriverManager,getDriverVersionFromRepository,Long Statement,The length of the statement "List<GeckodriverRelease> fileteredList=versions.geckodriverReleases.stream().filter(r -> majorBrowserVersion >= r.minFirefoxVersion && (r.maxFirefoxVersion == null || (r.maxFirefoxVersion != null && majorBrowserVersion <= r.maxFirefoxVersion))).collect(toList());" is 263.,131
wdm,io.github.bonigarcia.wdm.managers,InternetExplorerDriverManager,getBrowserPath,Long Statement,The length of the statement "throw new WebDriverManagerException("The browser path of " + getDriverManagerType().getBrowserName() + " cannot be found since it is a legacy browser and not maintained in the commands database");" is 196.,119
wdm,io.github.bonigarcia.wdm.managers,OperaDriverManager,getCurrentVersion,Magic Number,The method contains a magic number: 2,115
wdm,io.github.bonigarcia.wdm.managers,OperaDriverManager,getDriverVersionFromRepository,Long Statement,The length of the statement "List<GitHubApi> fileteredList=Arrays.stream(versions).filter(r -> r.getTagName().startsWith(TAG_NAME_PREFIX + majorDriverVersion)).collect(toList());" is 149.,191
wdm,io.github.bonigarcia.wdm.managers,SafariDriverManager,manage,Long Statement,The length of the statement "log.warn("There is no need to manage the driver for the Safari browser (i.e.` safaridriver) since it is built-in in Mac OS");" is 125.,49
wdm,io.github.bonigarcia.wdm.online,Downloader,getTarget,Complex Conditional,The conditional expression os.isWin() && !VersionDetector.isCfT(driverVersion) && (driverManagerType == CHROME || driverManagerType == CHROMIUM) is complex.,96
wdm,io.github.bonigarcia.wdm.online,Downloader,getTarget,Long Statement,The length of the statement "if (os.isWin() && !VersionDetector.isCfT(driverVersion) && (driverManagerType == CHROME || driverManagerType == CHROMIUM)) {" is 124.,96
wdm,io.github.bonigarcia.wdm.online,Downloader,getTarget,Long Statement,The length of the statement "String target=config.isAvoidOutputTree() ? cachePath + zip : cachePath + separator + driverName+ separator+ osName+ architecture+ separator+ driverVersion+ zip;" is 160.,96
wdm,io.github.bonigarcia.wdm.online,Downloader,downloadAndExtract,Complex Conditional,The conditional expression (!driverExists || config.isForceDownload()) && !config.isAvoidTmpFolder() is complex.,126
wdm,io.github.bonigarcia.wdm.online,Downloader,unTarGz,Long Statement,The length of the statement "try (FileInputStream fis=new FileInputStream(tarGzFile);GZIPInputStream gis=new GZIPInputStream(fis);TarArchiveInputStream taris=new TarArchiveInputStream(gis)){" is 161.,272
wdm,io.github.bonigarcia.wdm.online,HttpClient,HttpClient,Long Statement,The length of the statement "Registry<ConnectionSocketFactory> socketFactoryRegistry=RegistryBuilder.<ConnectionSocketFactory>create().register("https"`sslsf).register("http"`new PlainConnectionSocketFactory()).build();" is 190.,90
wdm,io.github.bonigarcia.wdm.online,HttpClient,HttpClient,Long Statement,The length of the statement "cm.setDefaultConnectionConfig(ConnectionConfig.custom().setConnectTimeout(config.getTimeout()`TimeUnit.SECONDS).build());" is 121.,90
wdm,io.github.bonigarcia.wdm.online,HttpClient,setupProxyIfRequired,Long Statement,The length of the statement "Optional<BasicCredentialsProvider> credentialsProvider=createBasicCredentialsProvider(proxy`config.getProxyUser()`config.getProxyPass()`proxyHost.get());" is 153.,177
wdm,io.github.bonigarcia.wdm.online,HttpClient,createProxy,Magic Number,The method contains a magic number: 80,194
wdm,io.github.bonigarcia.wdm.online,HttpClient,createProxyHttpHost,Long Statement,The length of the statement "String errorMessage="Detect an unsupported subclass of SocketAddress. " + "Please use the InetSocketAddress or subclass. Actual:" + proxy.get().address().getClass();" is 165.,222
wdm,io.github.bonigarcia.wdm.online,Parser,parseJson,Magic Number,The method contains a magic number: 100,51
wdm,io.github.bonigarcia.wdm.online,UrlHandler,UrlHandler,Long Parameter List,The method has 5 parameters. ,67
wdm,io.github.bonigarcia.wdm.online,UrlHandler,filterByDriverName,Long Statement,The length of the statement "candidateUrls=candidateUrls.stream().filter(url -> url.getFile().contains(driverName) && !url.getFile().contains("-symbols")).collect(toList());" is 144.,77
wdm,io.github.bonigarcia.wdm.online,UrlHandler,filterByOs,Long Statement,The length of the statement "candidateUrls=candidateUrls.stream().filter(url -> OperatingSystem.valueOf(osName).matchOs(url.getFile())).collect(toList());" is 125.,139
wdm,io.github.bonigarcia.wdm.online,UrlHandler,filterByIgnoredVersions,Long Statement,The length of the statement "candidateUrls=candidateUrls.stream().filter(url -> ignoredVersions.stream().noneMatch(version -> url.getFile().contains(version))).collect(toList());" is 149.,172
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getDriverVersionFromRepository,Long Parameter List,The method has 7 parameters. ,103
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getDriverVersionFromRepository,Long Statement,The length of the statement "List<Versions> fileteredList=versions.versions.stream().filter(v -> v.version.startsWith(driverVersion.get())).collect(toList());" is 129.,103
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getDriverVersionFromRepository,Long Statement,The length of the statement "String url=driverVersion.isPresent() ? driverUrl + latestLabel + "_"+ driverVersion.get()+ osLabel : driverUrl + versionLabel;" is 126.,103
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getBrowserPath,Complex Method,Cyclomatic complexity of the method is 10,171
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getBrowserPath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@50b9fe7b,171
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getBrowserVersionFromTheShell,Long Identifier,The length of the identifier browserVersionDetectionCommand is 30.,226
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getBrowserVersionFromTheShell,Long Statement,The length of the statement "log.debug("Browser version for {} not detected using {} properties (using {} {})"`browserName`onlineMessage`notOnlineMessage`propertiesName);" is 141.,226
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getCommandsList,Long Statement,The length of the statement "return Collections.list(commandsProperties.keys()).stream().map(Object::toString).filter(s -> s.contains(browserName)).filter(operatingSystem::matchOs).sorted().collect(Collectors.toList());" is 190.,282
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getBrowserVersionUsingCommand,Complex Conditional,The conditional expression !isWmic && !isRegQuery && lastSpaceIndex != -1 is complex.,291
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,isCfT,Long Statement,The length of the statement "return isNullOrEmpty(driverVersion) || Integer.parseInt(VersionDetector.getMajorVersion(driverVersion)) >= MIN_CHROMEDRIVER_IN_CFT;" is 131.,408
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getVersionFromPom,Magic Number,The method contains a magic number: 2,450
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,getVersionFromXml,Long Statement,The length of the statement "String version=(String)XPathFactory.newInstance().newXPath().compile("/project/version").evaluate(doc`XPathConstants.STRING);" is 125.,514
wdm,io.github.bonigarcia.wdm,WdmServer,seleniumServer,Long Statement,The length of the statement "boolean isSessionCreate=session != null && session.getCapabilities() != null && session.getCapabilities().getFirstMatch() != null;" is 130.,143
wdm,io.github.bonigarcia.wdm,WdmServer,seleniumServer,Long Statement,The length of the statement "String response=exchange(seleniumServerUrl.toString().replaceAll("/\\z"`"") + requestPath`requestMethod`requestBody`config.getServerTimeoutSec());" is 146.,143
wdm,io.github.bonigarcia.wdm,WdmServer,createDriverManager,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@657bc95,214
wdm,io.github.bonigarcia.wdm,WdmServer,exchange,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@376aeed,277
wdm,io.github.bonigarcia.wdm,WebDriverManager,getInstance,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@b48be28,280
wdm,io.github.bonigarcia.wdm,WebDriverManager,getDriver,Complex Method,Cyclomatic complexity of the method is 8,314
wdm,io.github.bonigarcia.wdm,WebDriverManager,getDriver,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@141dd31c,314
wdm,io.github.bonigarcia.wdm,WebDriverManager,zipFolder,Long Statement,The length of the statement "try (ZipOutputStream zipOutputStream=new ZipOutputStream(Files.newOutputStream(zipFile));Stream<Path> paths=Files.walk(sourceFolder)){" is 134.,360
wdm,io.github.bonigarcia.wdm,WebDriverManager,isOnline,Magic Number,The method contains a magic number: 200,401
wdm,io.github.bonigarcia.wdm,WebDriverManager,getDriverVersions,Complex Conditional,The conditional expression driverVersion.isEmpty() || driverVersion.equalsIgnoreCase("icons") || driverVersion.equalsIgnoreCase(getDriverName()) is complex.,859
wdm,io.github.bonigarcia.wdm,WebDriverManager,getDriverVersions,Long Statement,The length of the statement "if (driverVersion.isEmpty() || driverVersion.equalsIgnoreCase("icons") || driverVersion.equalsIgnoreCase(getDriverName())) {" is 124.,859
wdm,io.github.bonigarcia.wdm,WebDriverManager,exportParameter,Complex Method,Cyclomatic complexity of the method is 8,1090
wdm,io.github.bonigarcia.wdm,WebDriverManager,exportParameter,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2f95761e,1090
wdm,io.github.bonigarcia.wdm,WebDriverManager,manage,Long Statement,The length of the statement "driverInCache=cacheHandler.getDriverFromCache(driverVersion`getDriverName()`getDriverManagerType()`config().getArchitecture()`config().getOs());" is 144.,1152
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveDriverVersion,Complex Method,Cyclomatic complexity of the method is 9,1194
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveDriverVersion,Long Identifier,The length of the identifier latestDriverVersionFromRepository is 33.,1194
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveDriverVersion,Long Statement,The length of the statement "log.info("Using {} {} (resolved driver for {} {})"`getDriverName()`driverVersion`getDriverManagerType().getBrowserName()`resolvedBrowserVersion);" is 145.,1194
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveDriverVersion,Long Statement,The length of the statement "log.info("The driver {} {} is configured to be ignored ... trying again resolving driver for former version of {} (i.e. {})"`getDriverName()`driverVersion`getDriverManagerType()`formerBrowserVersion);" is 200.,1194
wdm,io.github.bonigarcia.wdm,WebDriverManager,storeInResolutionCache,Long Statement,The length of the statement "getResolutionCache().putValueInResolutionCacheIfEmpty(getKeyForResolutionCache()`resolvedBrowserVersion`config().getTtlForBrowsers());" is 134.,1289
wdm,io.github.bonigarcia.wdm,WebDriverManager,postDownload,Long Statement,The length of the statement "throw new WebDriverManagerException("Driver " + getDriverName() + " not found (using temporal folder "+ parentFolder+ ")");" is 123.,1313
wdm,io.github.bonigarcia.wdm,WebDriverManager,handleException,Long Statement,The length of the statement "String errorMessage=String.format("There was an error managing %s %s (%s)"`getDriverName()`driverVersionStr`e.getMessage());" is 124.,1408
wdm,io.github.bonigarcia.wdm,WebDriverManager,createUrlHandler,Complex Method,Cyclomatic complexity of the method is 9,1440
wdm,io.github.bonigarcia.wdm,WebDriverManager,createUrlHandler,Long Statement,The length of the statement "storeInResolutionCache(getKeyForResolutionCache() + resolvedBrowserVersion`resolvedDriverVersion`resolvedBrowserVersion);" is 121.,1440
wdm,io.github.bonigarcia.wdm,WebDriverManager,createUrlHandler,Long Statement,The length of the statement "log.info("No proper driver found for {} {} ... seeking another version"`getDriverName()`getDriverVersionLabel(driverVersion));" is 126.,1440
wdm,io.github.bonigarcia.wdm,WebDriverManager,getMirrorUrls,Long Statement,The length of the statement "try (BufferedReader reader=new BufferedReader(new InputStreamReader(getHttpClient().execute(get).getEntity().getContent()))){" is 125.,1541
wdm,io.github.bonigarcia.wdm,WebDriverManager,getDriverVersionFromRepository,Long Statement,The length of the statement "return getVersionDetector().getDriverVersionFromRepository(driverVersion`getDriverUrl()`getVersionCharset()`getDriverName()`getLatestVersionLabel()`LATEST_RELEASE`getOsLabel());" is 177.,1697
wdm,io.github.bonigarcia.wdm,WebDriverManager,instantiateDriver,Complex Method,Cyclomatic complexity of the method is 10,1735
wdm,io.github.bonigarcia.wdm,WebDriverManager,instantiateDriver,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@19a2b4c7,1735
wdm,io.github.bonigarcia.wdm,WebDriverManager,initBrowserWatcherForChromium,Long Statement,The length of the statement "String allowExtensionFlag=resolvedBrowserVersion != null && Integer.parseInt(resolvedBrowserVersion) < 112 ? "--whitelisted-extension-id=" : "--allowlisted-extension-id=";" is 171.,1793
wdm,io.github.bonigarcia.wdm,WebDriverManager,initBrowserWatcherForChromium,Magic Number,The method contains a magic number: 112,1793
wdm,io.github.bonigarcia.wdm,WebDriverManager,getBrowserWatcherAsPath,Long Statement,The length of the statement "InputStream extensionInputStream=Config.class.getResourceAsStream(String.format(extFilename`extModifier`config().getBrowserWatcherVersion()));" is 142.,1817
wdm,io.github.bonigarcia.wdm,WebDriverManager,createDockerWebDriver,Long Statement,The length of the statement "browserVersion=getDockerService().getImageVersionFromDockerHub(getDriverManagerType()`browserCacheKey`browserName`browserVersion`androidEnabled);" is 145.,1863
wdm,io.github.bonigarcia.wdm,WebDriverManager,createDockerWebDriver,Long Statement,The length of the statement "DockerContainer browserContainer=getDockerService().startBrowserContainer(browserImage`browserCacheKey`browserVersion`androidEnabled);" is 134.,1863
wdm,io.github.bonigarcia.wdm,WebDriverManager,createDockerWebDriver,Long Statement,The length of the statement "DockerContainer noVncContainer=getDockerService().startNoVncContainer(noVncImage`"novnc-container"`noVncVersion`browserContainer);" is 130.,1863
wdm,io.github.bonigarcia.wdm,WebDriverManager,createDockerWebDriver,Long Statement,The length of the statement "DockerContainer recorderContainer=getDockerService().startRecorderContainer(recorderImage`"recorder-container"`recorderVersion`browserContainer);" is 145.,1863
wdm,io.github.bonigarcia.wdm,WebDriverManager,createLocalWebDriver,Long Statement,The length of the statement "Class<?> browserClass=managerType == OPERA ? Class.forName("org.openqa.selenium.chrome.ChromeDriver") : Class.forName(managerType.browserClass());" is 146.,1951
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveLocal,Long Statement,The length of the statement "WebDriverManager wdm=WebDriverManager.getInstance(browserName).avoidExport().cachePath(".").forceDownload().avoidResolutionCache();" is 131.,2005
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveLocal,Magic Number,The method contains a magic number: 2,2005
wdm,io.github.bonigarcia.wdm,WebDriverManager,resolveLocal,Magic Number,The method contains a magic number: 2,2005
wdm,io.github.bonigarcia.wdm,WebDriverManager,runInDocker,Magic Number,The method contains a magic number: 2,2028
wdm,io.github.bonigarcia.wdm,WebDriverManager,runInDocker,Magic Number,The method contains a magic number: 2,2028
wdm,io.github.bonigarcia.wdm.webdriver,WebDriverBrowser,startRecording,Long Statement,The length of the statement "((JavascriptExecutor)driver).executeScript("window.postMessage({ type: \"startRecording\"` name: \"" + recordingName + "\" });");" is 129.,162
